file,line,spotbugs_type,category,priority,rank
Doctor.java,33,EI_EXPOSE_REP,MALICIOUS_CODE,2,18
Doctor.java,22,EI_EXPOSE_REP2,MALICIOUS_CODE,2,18
Doctor.java,15,EI_EXPOSE_REP2,MALICIOUS_CODE,2,18
Doctor.java,36,EI_EXPOSE_REP2,MALICIOUS_CODE,2,18
ExaminationRoom.java,88,EI_EXPOSE_REP,MALICIOUS_CODE,2,18
ExaminationRoom.java,94,EI_EXPOSE_REP,MALICIOUS_CODE,2,18
ExaminationRoom.java,100,EI_EXPOSE_REP,MALICIOUS_CODE,2,18
ExaminationRoom.java,54,EI_EXPOSE_REP2,MALICIOUS_CODE,2,18
ExaminationRoom.java,55,EI_EXPOSE_REP2,MALICIOUS_CODE,2,18
ExaminationRoom.java,56,EI_EXPOSE_REP2,MALICIOUS_CODE,2,18
ExaminationRoom.java,91,EI_EXPOSE_REP2,MALICIOUS_CODE,2,18
ExaminationRoom.java,97,EI_EXPOSE_REP2,MALICIOUS_CODE,2,18
ExaminationRoom.java,103,EI_EXPOSE_REP2,MALICIOUS_CODE,2,18
ExaminationRoom.java,17,EQ_COMPARETO_USE_OBJECT_EQUALS,BAD_PRACTICE,2,16
ExaminationRoom.java,27,EQ_SELF_USE_OBJECT,CORRECTNESS,2,8
ExaminationRoom.java,27,HE_EQUALS_USE_HASHCODE,BAD_PRACTICE,2,16
Hospital.java,43,DMI_BAD_MONTH,CORRECTNESS,2,7
Hospital.java,246,EI_EXPOSE_REP,MALICIOUS_CODE,2,18
Hospital.java,238,EI_EXPOSE_REP,MALICIOUS_CODE,2,18
Hospital.java,254,EI_EXPOSE_REP,MALICIOUS_CODE,2,18
Hospital.java,15,EI_EXPOSE_REP2,MALICIOUS_CODE,2,18
Hospital.java,16,EI_EXPOSE_REP2,MALICIOUS_CODE,2,18
Hospital.java,250,EI_EXPOSE_REP2,MALICIOUS_CODE,2,18
Hospital.java,258,EI_EXPOSE_REP2,MALICIOUS_CODE,2,18
Hospital.java,68,ES_COMPARING_STRINGS_WITH_EQ,BAD_PRACTICE,2,11
Hospital.java,104,NP_NULL_ON_SOME_PATH,CORRECTNESS,2,8
Hospital.java,23,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,STYLE,1,15
Hospital.java,242,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,STYLE,1,15
Patient.java,18,DMI_RANDOM_USED_ONLY_ONCE,BAD_PRACTICE,1,14
Patient.java,18,DM_NEXTINT_VIA_NEXTDOUBLE,PERFORMANCE,2,18
Person.java,55,EI_EXPOSE_REP,MALICIOUS_CODE,2,18
Person.java,14,EI_EXPOSE_REP2,MALICIOUS_CODE,2,18
Person.java,58,EI_EXPOSE_REP2,MALICIOUS_CODE,2,18
Person.java,16,RV_EXCEPTION_NOT_THROWN,CORRECTNESS,1,1
Person.java,30,RV_RETURN_VALUE_IGNORED,CORRECTNESS,1,3
Person.java,31,RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,STYLE,2,17
UI.java,333,DM_STRING_VOID_CTOR,PERFORMANCE,2,18
UI.java,335,SBSC_USE_STRINGBUFFER_CONCATENATION,PERFORMANCE,2,18
